t,avg_cAMP,avg_Ca,avg_Ca_ER,avg_ATP,PKA_frac,avg_pSer845,avg_I1P,avg_pSer831,CaMKII_p_frac,min_cAMP,max_cAMP,gradient_index,stimulus,neck_avg_cAMP,head_avg_cAMP,head_neck_ratio
0.000000,0.100000,0.100000,200.000000,2000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2000.000000,20000.000000,0.000000,nan,nan,nan
0.020000,0.107589,0.101943,199.970358,1996.125675,0.075272,0.002251,0.000375,0.000534,0.000022,0.000044,1996.125884,18553.307971,0.000000,nan,nan,nan
0.040000,0.115572,0.102588,199.940839,1994.970895,0.133730,0.006232,0.001041,0.002073,0.000202,0.000122,1994.971326,17261.719372,0.000000,nan,nan,nan
0.060000,0.123847,0.103173,199.911433,1994.657115,0.180731,0.011579,0.001937,0.005018,0.000851,0.000195,1994.657738,16105.802072,0.000000,nan,nan,nan
0.080000,0.132323,0.103756,199.882140,1994.601319,0.219848,0.018038,0.003023,0.009698,0.002449,0.000278,1994.602101,15073.712294,0.000000,nan,nan,nan
0.100000,0.140920,0.104340,199.852961,1994.623673,0.253423,0.025423,0.004271,0.016369,0.005594,0.000372,1994.624587,14154.289754,0.000000,nan,nan,nan
0.120000,0.149568,0.104925,199.823896,1994.668825,0.282965,0.033595,0.005659,0.025216,0.010906,0.000476,1994.669849,13336.219279,0.000000,nan,nan,nan
0.140000,0.158206,0.105511,199.794945,1994.719764,0.309426,0.042444,0.007169,0.036354,0.018943,0.000592,1994.720882,12608.412333,0.000000,nan,nan,nan
0.160000,0.166781,0.106098,199.766109,1994.771280,0.333404,0.051879,0.008789,0.049836,0.030122,0.000719,1994.772481,11960.437955,0.000000,nan,nan,nan
0.180000,0.175249,0.106685,199.737388,1994.821796,0.355276,0.061823,0.010507,0.065655,0.044677,0.000858,1994.823070,11382.772089,0.000000,nan,nan,nan
0.200000,0.183573,0.107273,199.708783,1994.870851,0.375286,0.072203,0.012313,0.083748,0.062653,0.001009,1994.872193,10866.887640,0.000000,nan,nan,nan
0.220000,0.191722,0.107862,199.680295,1994.918331,0.393608,0.082959,0.014197,0.104005,0.083918,0.001173,1994.919735,10405.247152,0.000000,nan,nan,nan
0.240000,0.199671,0.108451,199.651923,1994.964230,0.410376,0.094031,0.016150,0.126272,0.108197,0.001349,1994.965692,9991.241586,0.000000,nan,nan,nan
0.260000,0.207401,0.109042,199.623668,1995.008576,0.425708,0.105367,0.018165,0.150362,0.135111,0.001536,1995.010092,9619.104215,0.000000,nan,nan,nan
0.280000,0.214896,0.109633,199.595530,1995.051406,0.439710,0.116918,0.020234,0.176056,0.164219,0.001736,1995.052974,9283.816909,0.000000,nan,nan,nan
0.300000,0.222145,0.110224,199.567511,1995.092764,0.452486,0.128641,0.022350,0.203118,0.195049,0.001947,1995.094380,8981.018286,0.000000,nan,nan,nan
0.320000,0.229143,0.110816,199.539609,1995.132694,0.464136,0.140495,0.024508,0.231297,0.227126,0.002169,1995.134356,8706.918469,0.000000,nan,nan,nan
0.340000,0.235885,0.111409,199.511827,1995.171241,0.474756,0.152445,0.026702,0.260336,0.259994,0.002402,1995.172947,8458.222463,0.000000,nan,nan,nan
0.360000,0.242370,0.112002,199.484163,1995.208450,0.484439,0.164460,0.028926,0.289983,0.293233,0.002646,1995.210197,8232.062591,0.000000,nan,nan,nan
0.380000,0.248599,0.112596,199.456619,1995.244366,0.493270,0.176510,0.031176,0.319992,0.326462,0.002899,1995.246153,8025.939653,0.000000,nan,nan,nan
0.400000,0.254575,0.113190,199.429195,1995.279036,0.501330,0.188572,0.033448,0.350130,0.359352,0.003162,1995.280859,7837.672085,0.000000,nan,nan,nan
