t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.097309682,0.09736024,0.097001127,0.0036904141,0
0.1,0.094677095,0.094775307,0.094125908,0.0068590852,0
0.15,0.092101625,0.09224468,0.091354531,0.0096648619,0
0.2,0.089582646,0.089767824,0.088674854,0.012200685,0
0.25,0.087119515,0.087344183,0.086078814,0.014524519,1
0.3,0.23368595,0.61250981,0.083560608,2.2635045,1
0.35,0.37917932,1.0808525,0.081115825,2.6365801,1
0.4,0.52412101,1.5193453,0.07874126,2.7486096,1
0.45,0.66868197,1.9410474,0.076436152,2.7884875,1
0.5,0.81294246,2.3516209,0.074205659,2.801447,0
0.55,0.80701567,2.2497081,0.072065821,2.6983891,0
0.6,0.80099351,2.2242919,0.07004781,2.6894651,0
0.65,0.79488662,2.1923911,0.068199509,2.6723202,0
0.7,0.78870325,2.1486066,0.066583117,2.6398059,0
0.75,0.78245008,2.0994533,0.065268472,2.5997631,0
0.8,0.77613261,2.0482758,0.064323716,2.5562024,0
0.85,0.76975555,1.9968679,0.06380633,2.5112668,0
0.9,0.76332296,1.9462064,0.06375695,2.4661245,0
0.95,0.75683849,1.8968163,0.064196823,2.4214142,0
1,0.75030543,1.8489648,0.065128377,2.3774804,0
1.05,0.74372686,1.8027692,0.06653783,2.3345013,0
1.1,0.73710569,1.7582585,0.068398735,2.292561,0
1.15,0.73044469,1.7154105,0.070675656,2.2516898,0
1.2,0.72374655,1.6741734,0.073327492,2.2118874,0
1.25,0.7170139,1.6344795,0.076310213,2.1731368,0
1.3,0.7102493,1.5962536,0.079578979,2.1354116,0
1.35,0.70345528,1.5594178,0.083089676,2.0986809,0
1.4,0.69663429,1.5238948,0.086799971,2.0629113,0
1.45,0.68978879,1.4896095,0.090669983,2.0280694,0
1.5,0.68292114,1.4564904,0.094662671,1.9941216,0
1.55,0.6760337,1.42447,0.098744006,1.9610354,0
1.6,0.66912875,1.3934848,0.102883,1.9287794,0
1.65,0.66220852,1.3634754,0.10705165,1.8973235,0
1.7,0.6552752,1.3343868,0.1112248,1.8666386,0
1.75,0.64833092,1.3061676,0.11537998,1.8366973,0
1.8,0.64137776,1.2787702,0.11949722,1.8074731,0
1.85,0.63441772,1.2521505,0.12355886,1.778941,0
1.9,0.62745278,1.2262676,0.12754937,1.7510771,0
1.95,0.62048484,1.2010834,0.13145518,1.7238588,0
2,0.61351574,1.1765628,0.13526446,1.6972643,0
