t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.097308333,0.097358957,0.09697923,0.0039023135,0
0.1,0.094674449,0.09477278,0.09405611,0.0075698361,0
0.15,0.092097743,0.092240948,0.091225437,0.011026452,0
0.2,0.089577591,0.089762926,0.088482253,0.014296792,0
0.25,0.087113353,0.087338158,0.085822284,0.017401171,1
0.3,0.23372736,0.6368247,0.083241827,2.3684984,1
0.35,0.37928229,1.1578171,0.080737633,2.8397832,1
0.4,0.52433692,1.6562184,0.078306813,3.0093466,1
0.45,0.66907498,2.1364299,0.075946764,3.0795998,1
0.5,0.81358312,2.6019065,0.073655114,3.1075514,1
0.55,0.95790991,3.0552698,0.071429694,3.1149486,1
0.6,1.1020856,3.4985,0.069268512,3.1115837,1
0.65,1.2461303,3.9343455,0.067169751,3.1033479,1
0.7,1.3900582,4.3659603,0.065131778,3.0939918,1
0.75,1.5338796,4.7915725,0.063153158,3.0826535,1
0.8,1.6776024,5.2117857,0.061232689,3.0701869,1
0.85,1.8212326,5.6270765,0.059369431,3.0571093,1
0.9,1.9647748,6.0378275,0.057562738,3.0437405,1
0.95,2.1082329,6.4471325,0.055812294,3.0316006,1
1,2.2516099,6.8553852,0.054118143,3.0206241,1
1.05,2.3949083,7.2600398,0.052480709,3.0095345,1
1.1,2.5381303,7.6612341,0.050900813,2.9984014,1
1.15,2.6812775,8.0590874,0.049379681,2.987273,1
1.2,2.8243514,8.4540519,0.047918947,2.9763056,1
1.25,2.9673534,8.8510063,0.046520642,2.9671173,1
1.3,3.1102844,9.2449248,0.045187187,2.9578445,1
1.35,3.2531455,9.6358663,0.04392137,2.948514,1
1.4,3.3959374,10.023887,0.04272633,2.9391473,1
1.45,3.5386609,10.409039,0.041605527,2.9297619,1
1.5,3.6813165,10.793239,0.040562718,2.9208779,1
1.55,3.8239049,11.177624,0.039601932,2.9127351,1
1.6,3.9664264,11.559253,0.038727439,2.90451,1
1.65,4.1088817,11.938167,0.037943728,2.8962195,1
1.7,4.2512709,12.314408,0.037255478,2.8878781,1
1.75,4.3935946,12.688016,0.036667541,2.8794983,1
1.8,4.5358531,13.059822,0.036184917,2.8712651,1
1.85,4.6780466,13.432266,0.03581274,2.8636853,1
1.9,4.8201754,13.802148,0.035556258,2.8560355,1
1.95,4.9622397,14.169507,0.035420829,2.8483279,1
2,5.10424,14.53438,0.035411902,2.8405733,1
