t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.093452242,0.093500801,0.093156004,0.0036895478,0
0.1,0.087249133,0.087339498,0.086742638,0.0068408647,0
0.15,0.08138148,0.081507375,0.080725724,0.0096047803,0
0.2,0.075839479,0.075995097,0.075079901,0.01206754,0
0.25,0.070612784,0.07079278,0.069784364,0.014280923,1
0.3,0.21295359,0.58809068,0.064820774,2.4572016,1
0.35,0.3525961,1.0445556,0.060172276,2.7918156,1
0.4,0.49089987,1.469697,0.055823259,2.8801672,1
0.45,0.62829785,1.8773026,0.051760348,2.9055364,1
0.5,0.7649887,2.2730919,0.047975069,2.9086924,1
0.55,0.90108108,2.6603937,0.044467129,2.9030978,1
0.6,1.0366412,3.0410716,0.041246538,2.8937929,1
0.65,1.1717127,3.4146087,0.038333625,2.8814871,1
0.7,1.3063259,3.7828971,0.035757224,2.8684571,1
0.75,1.4405029,4.1443579,0.033551929,2.8537297,1
0.8,1.5742606,4.500349,0.031755254,2.8385349,1
0.85,1.7076123,4.850291,0.03040529,2.8225879,1
0.9,1.8405688,5.1937792,0.029539066,2.8057849,1
0.95,1.9731392,5.5325402,0.02919164,2.7891334,1
1,2.1053317,5.8645846,0.029395775,2.7716244,1
1.05,2.2371534,6.1915602,0.030182055,2.7541151,1
1.1,2.368611,6.5132668,0.03157926,2.736493,1
1.15,2.4997107,6.8290465,0.033614867,2.7184872,1
1.2,2.6304587,7.1399967,0.036315593,2.7005484,1
1.25,2.7608611,7.4462352,0.039707894,2.6826874,1
1.3,2.8909237,7.7472362,0.043818393,2.6646908,1
1.35,3.0206527,8.0432252,0.04867421,2.6466303,1
1.4,3.1500542,8.3353944,0.054303194,2.6288726,1
1.45,3.2791346,8.6229485,0.060734052,2.6111202,1
1.5,3.4079002,8.9060482,0.067996392,2.593401,1
1.55,3.5363576,9.1848711,0.076120678,2.5757436,1
1.6,3.6645137,9.4600593,0.085138119,2.5582989,1
1.65,3.7923752,9.7313704,0.095080504,2.5409643,1
1.7,3.9199492,9.9988556,0.10597999,2.5237255,1
1.75,4.0472429,10.262655,0.11786885,2.5065919,1
1.8,4.1742634,10.522901,0.13077922,2.4895702,1
1.85,4.3010183,10.779954,0.1447428,2.4727194,1
1.9,4.4275148,11.033693,0.15979057,2.4559833,1
1.95,4.5537604,11.284225,0.17595254,2.4393626,1
2,4.6797625,11.531658,0.19325745,2.4228581,1
